# Output of 'KaSim' '-i' './SA_kphos__FREE__/level4/model_level04_kphos__FREE__.kappa' '-d' './SA_kphos__FREE__/level4' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 118748942
# "uuid" : "438775813"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,335
20.,0,0,1000,0,334
30.,0,0,1000,0,336
40.,0,0,1000,0,360
50.,0,0,1000,0,342
60.,0,0,1000,0,338
70.,0,0,1000,0,327
80.,0,0,1000,0,349
90.,0,0,1000,0,335
100.,0,0,1000,0,356
110.,0,0,1000,0,330
120.,0,0,1000,0,336
130.,0,0,1000,0,333
140.,0,0,1000,0,359
150.,0,0,1000,0,373
160.,0,0,1000,0,330
170.,0,0,1000,0,353
180.,0,0,1000,0,322
190.,0,0,1000,0,324
200.,0,0,1000,0,379
210.,0,0,1000,0,348
220.,0,0,1000,0,346
230.,0,0,1000,0,338
240.,0,0,1000,0,360
250.,0,0,1000,0,300
260.,0,0,1000,0,340
270.,0,0,1000,0,357
280.,0,0,1000,0,350
290.,0,0,1000,0,338
300.,0,0,1000,0,336
310.,0,0,1000,0,338
320.,0,0,1000,0,328
330.,0,0,1000,0,355
340.,0,0,1000,0,343
350.,0,0,1000,0,364
360.,0,0,1000,0,365
370.,0,0,1000,0,337
380.,0,0,1000,0,314
390.,0,0,1000,0,352
400.,0,0,1000,0,324
410.,0,0,1000,0,323
420.,0,0,1000,0,314
430.,0,0,1000,0,322
440.,0,0,1000,0,382
450.,0,0,1000,0,332
460.,0,0,1000,0,323
470.,0,0,1000,0,355
480.,0,0,1000,0,343
490.,0,0,1000,0,334
500.,0,0,1000,0,324
510.,0,0,1000,0,356
520.,0,0,1000,0,342
530.,0,0,1000,0,321
540.,0,0,1000,0,370
550.,0,0,1000,0,348
560.,0,0,1000,0,334
570.,0,0,1000,0,368
580.,0,0,1000,0,368
590.,0,0,1000,0,343
600.,0,0,1000,0,336
610.,12647,12163,1000,484,392
620.,12647,12158,1000,489,396
630.,12647,12164,1000,483,377
640.,12647,12166,1000,481,404
650.,12647,12186,1000,461,385
660.,12647,12162,1000,485,391
