# Output of 'KaSim' '-i' './SA_km2__FREE__/level6/model_level06_km2__FREE__.kappa' '-d' './SA_km2__FREE__/level6' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 220754362
# "uuid" : "297628651"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,123
20.,0,0,1000,0,140
30.,0,0,1000,0,113
40.,0,0,1000,0,145
50.,0,0,1000,0,120
60.,0,0,1000,0,116
70.,0,0,1000,0,118
80.,0,0,1000,0,126
90.,0,0,1000,0,122
100.,0,0,1000,0,124
110.,0,0,1000,0,139
120.,0,0,1000,0,124
130.,0,0,1000,0,109
140.,0,0,1000,0,112
150.,0,0,1000,0,122
160.,0,0,1000,0,129
170.,0,0,1000,0,126
180.,0,0,1000,0,131
190.,0,0,1000,0,104
200.,0,0,1000,0,116
210.,0,0,1000,0,117
220.,0,0,1000,0,142
230.,0,0,1000,0,115
240.,0,0,1000,0,129
250.,0,0,1000,0,130
260.,0,0,1000,0,118
270.,0,0,1000,0,130
280.,0,0,1000,0,123
290.,0,0,1000,0,118
300.,0,0,1000,0,133
310.,0,0,1000,0,139
320.,0,0,1000,0,115
330.,0,0,1000,0,126
340.,0,0,1000,0,143
350.,0,0,1000,0,129
360.,0,0,1000,0,118
370.,0,0,1000,0,121
380.,0,0,1000,0,126
390.,0,0,1000,0,122
400.,0,0,1000,0,125
410.,0,0,1000,0,114
420.,0,0,1000,0,138
430.,0,0,1000,0,133
440.,0,0,1000,0,150
450.,0,0,1000,0,131
460.,0,0,1000,0,123
470.,0,0,1000,0,134
480.,0,0,1000,0,131
490.,0,0,1000,0,139
500.,0,0,1000,0,123
510.,0,0,1000,0,112
520.,0,0,1000,0,130
530.,0,0,1000,0,127
540.,0,0,1000,0,129
550.,0,0,1000,0,125
560.,0,0,1000,0,133
570.,0,0,1000,0,130
580.,0,0,1000,0,142
590.,0,0,1000,0,140
600.,0,0,1000,0,147
610.,12647,12151,1000,496,161
620.,12647,12176,1000,471,146
630.,12647,12155,1000,492,134
640.,12647,12145,1000,502,140
650.,12647,12161,1000,486,127
660.,12647,12158,1000,489,140
