# Output of 'KaSim' '-i' './SA_kphos__FREE__/level6/model_level06_kphos__FREE__.kappa' '-d' './SA_kphos__FREE__/level6' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 974746116
# "uuid" : "552701408"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,322
20.,0,0,1000,0,332
30.,0,0,1000,0,367
40.,0,0,1000,0,341
50.,0,0,1000,0,345
60.,0,0,1000,0,353
70.,0,0,1000,0,323
80.,0,0,1000,0,394
90.,0,0,1000,0,331
100.,0,0,1000,0,333
110.,0,0,1000,0,352
120.,0,0,1000,0,353
130.,0,0,1000,0,365
140.,0,0,1000,0,333
150.,0,0,1000,0,327
160.,0,0,1000,0,364
170.,0,0,1000,0,380
180.,0,0,1000,0,352
190.,0,0,1000,0,336
200.,0,0,1000,0,365
210.,0,0,1000,0,343
220.,0,0,1000,0,366
230.,0,0,1000,0,359
240.,0,0,1000,0,355
250.,0,0,1000,0,349
260.,0,0,1000,0,353
270.,0,0,1000,0,354
280.,0,0,1000,0,365
290.,0,0,1000,0,369
300.,0,0,1000,0,373
310.,0,0,1000,0,335
320.,0,0,1000,0,350
330.,0,0,1000,0,318
340.,0,0,1000,0,322
350.,0,0,1000,0,395
360.,0,0,1000,0,348
370.,0,0,1000,0,342
380.,0,0,1000,0,348
390.,0,0,1000,0,342
400.,0,0,1000,0,372
410.,0,0,1000,0,325
420.,0,0,1000,0,343
430.,0,0,1000,0,335
440.,0,0,1000,0,349
450.,0,0,1000,0,363
460.,0,0,1000,0,341
470.,0,0,1000,0,376
480.,0,0,1000,0,369
490.,0,0,1000,0,337
500.,0,0,1000,0,370
510.,0,0,1000,0,339
520.,0,0,1000,0,353
530.,0,0,1000,0,355
540.,0,0,1000,0,329
550.,0,0,1000,0,330
560.,0,0,1000,0,367
570.,0,0,1000,0,326
580.,0,0,1000,0,349
590.,0,0,1000,0,339
600.,0,0,1000,0,357
610.,12647,12167,1000,480,398
620.,12647,12156,1000,491,424
630.,12647,12155,1000,492,409
640.,12647,12145,1000,502,431
650.,12647,12166,1000,481,399
660.,12647,12139,1000,508,373
