# Output of 'KaSim' '-i' './SA_kphos__FREE__/level8/model_level08_kphos__FREE__.kappa' '-d' './SA_kphos__FREE__/level8' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 97475473
# "uuid" : "453253462"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,381
20.,0,0,1000,0,371
30.,0,0,1000,0,331
40.,0,0,1000,0,339
50.,0,0,1000,0,363
60.,0,0,1000,0,363
70.,0,0,1000,0,345
80.,0,0,1000,0,332
90.,0,0,1000,0,368
100.,0,0,1000,0,348
110.,0,0,1000,0,346
120.,0,0,1000,0,366
130.,0,0,1000,0,345
140.,0,0,1000,0,335
150.,0,0,1000,0,359
160.,0,0,1000,0,360
170.,0,0,1000,0,324
180.,0,0,1000,0,342
190.,0,0,1000,0,341
200.,0,0,1000,0,352
210.,0,0,1000,0,359
220.,0,0,1000,0,344
230.,0,0,1000,0,362
240.,0,0,1000,0,352
250.,0,0,1000,0,346
260.,0,0,1000,0,346
270.,0,0,1000,0,344
280.,0,0,1000,0,351
290.,0,0,1000,0,357
300.,0,0,1000,0,339
310.,0,0,1000,0,340
320.,0,0,1000,0,349
330.,0,0,1000,0,350
340.,0,0,1000,0,345
350.,0,0,1000,0,344
360.,0,0,1000,0,351
370.,0,0,1000,0,353
380.,0,0,1000,0,366
390.,0,0,1000,0,354
400.,0,0,1000,0,370
410.,0,0,1000,0,345
420.,0,0,1000,0,382
430.,0,0,1000,0,364
440.,0,0,1000,0,335
450.,0,0,1000,0,372
460.,0,0,1000,0,333
470.,0,0,1000,0,355
480.,0,0,1000,0,385
490.,0,0,1000,0,344
500.,0,0,1000,0,326
510.,0,0,1000,0,362
520.,0,0,1000,0,358
530.,0,0,1000,0,358
540.,0,0,1000,0,347
550.,0,0,1000,0,345
560.,0,0,1000,0,327
570.,0,0,1000,0,344
580.,0,0,1000,0,338
590.,0,0,1000,0,386
600.,0,0,1000,0,358
610.,12647,12141,1000,506,371
620.,12647,12141,1000,506,427
630.,12647,12151,1000,496,412
640.,12647,12161,1000,486,401
650.,12647,12165,1000,482,415
660.,12647,12169,1000,478,381
