# Output of 'KaSim' '-i' './SA_km1__FREE__/level2/model_level02_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level2' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 582708971
# "uuid" : "453229615"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,117
20.,0,0,1000,0,85
30.,0,0,1000,0,110
40.,0,0,1000,0,94
50.,0,0,1000,0,89
60.,0,0,1000,0,104
70.,0,0,1000,0,121
80.,0,0,1000,0,97
90.,0,0,1000,0,108
100.,0,0,1000,0,95
110.,0,0,1000,0,118
120.,0,0,1000,0,116
130.,0,0,1000,0,102
140.,0,0,1000,0,96
150.,0,0,1000,0,92
160.,0,0,1000,0,114
170.,0,0,1000,0,93
180.,0,0,1000,0,121
190.,0,0,1000,0,119
200.,0,0,1000,0,111
210.,0,0,1000,0,106
220.,0,0,1000,0,109
230.,0,0,1000,0,123
240.,0,0,1000,0,107
250.,0,0,1000,0,96
260.,0,0,1000,0,92
270.,0,0,1000,0,95
280.,0,0,1000,0,110
290.,0,0,1000,0,99
300.,0,0,1000,0,110
310.,0,0,1000,0,110
320.,0,0,1000,0,95
330.,0,0,1000,0,96
340.,0,0,1000,0,106
350.,0,0,1000,0,130
360.,0,0,1000,0,107
370.,0,0,1000,0,94
380.,0,0,1000,0,113
390.,0,0,1000,0,103
400.,0,0,1000,0,91
410.,0,0,1000,0,108
420.,0,0,1000,0,93
430.,0,0,1000,0,115
440.,0,0,1000,0,107
450.,0,0,1000,0,88
460.,0,0,1000,0,105
470.,0,0,1000,0,102
480.,0,0,1000,0,82
490.,0,0,1000,0,103
500.,0,0,1000,0,101
510.,0,0,1000,0,114
520.,0,0,1000,0,111
530.,0,0,1000,0,97
540.,0,0,1000,0,106
550.,0,0,1000,0,101
560.,0,0,1000,0,106
570.,0,0,1000,0,109
580.,0,0,1000,0,101
590.,0,0,1000,0,96
600.,0,0,1000,0,107
610.,12647,12115,1000,532,146
620.,12647,12181,1000,466,160
630.,12647,12172,1000,475,147
640.,12647,12162,1000,485,134
650.,12647,12175,1000,472,149
660.,12647,12142,1000,505,138
