# Output of 'KaSim' '-i' './SA_K2RT__FREE__/level1/model_level01_K2RT__FREE__.kappa' '-d' './SA_K2RT__FREE__/level1' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 634670669
# "uuid" : "250964849"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,320
20.,0,0,1000,0,314
30.,0,0,1000,0,325
40.,0,0,1000,0,342
50.,0,0,1000,0,276
60.,0,0,1000,0,309
70.,0,0,1000,0,309
80.,0,0,1000,0,340
90.,0,0,1000,0,312
100.,0,0,1000,0,317
110.,0,0,1000,0,306
120.,0,0,1000,0,305
130.,0,0,1000,0,345
140.,0,0,1000,0,320
150.,0,0,1000,0,324
160.,0,0,1000,0,333
170.,0,0,1000,0,310
180.,0,0,1000,0,288
190.,0,0,1000,0,316
200.,0,0,1000,0,301
210.,0,0,1000,0,328
220.,0,0,1000,0,310
230.,0,0,1000,0,311
240.,0,0,1000,0,305
250.,0,0,1000,0,327
260.,0,0,1000,0,312
270.,0,0,1000,0,314
280.,0,0,1000,0,301
290.,0,0,1000,0,345
300.,0,0,1000,0,334
310.,0,0,1000,0,309
320.,0,0,1000,0,319
330.,0,0,1000,0,282
340.,0,0,1000,0,320
350.,0,0,1000,0,299
360.,0,0,1000,0,346
370.,0,0,1000,0,312
380.,0,0,1000,0,345
390.,0,0,1000,0,307
400.,0,0,1000,0,308
410.,0,0,1000,0,310
420.,0,0,1000,0,332
430.,0,0,1000,0,308
440.,0,0,1000,0,322
450.,0,0,1000,0,292
460.,0,0,1000,0,307
470.,0,0,1000,0,333
480.,0,0,1000,0,303
490.,0,0,1000,0,335
500.,0,0,1000,0,302
510.,0,0,1000,0,299
520.,0,0,1000,0,342
530.,0,0,1000,0,318
540.,0,0,1000,0,315
550.,0,0,1000,0,303
560.,0,0,1000,0,314
570.,0,0,1000,0,326
580.,0,0,1000,0,276
590.,0,0,1000,0,305
600.,0,0,1000,0,303
610.,12647,12119,1000,528,310
620.,12647,12181,1000,466,303
630.,12647,12150,1000,497,328
640.,12647,12134,1000,513,341
650.,12647,12190,1000,457,310
660.,12647,12146,1000,501,307
