# Output of 'KaSim' '-i' './SA_KD1__FREE__/level2/model_level02_KD1__FREE__.kappa' '-d' './SA_KD1__FREE__/level2' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 344284331
# "uuid" : "1052661172"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,98
20.,0,0,1000,0,99
30.,0,0,1000,0,105
40.,0,0,1000,0,114
50.,0,0,1000,0,94
60.,0,0,1000,0,113
70.,0,0,1000,0,126
80.,0,0,1000,0,108
90.,0,0,1000,0,125
100.,0,0,1000,0,118
110.,0,0,1000,0,115
120.,0,0,1000,0,112
130.,0,0,1000,0,116
140.,0,0,1000,0,116
150.,0,0,1000,0,92
160.,0,0,1000,0,104
170.,0,0,1000,0,93
180.,0,0,1000,0,111
190.,0,0,1000,0,106
200.,0,0,1000,0,110
210.,0,0,1000,0,117
220.,0,0,1000,0,104
230.,0,0,1000,0,115
240.,0,0,1000,0,106
250.,0,0,1000,0,99
260.,0,0,1000,0,114
270.,0,0,1000,0,117
280.,0,0,1000,0,102
290.,0,0,1000,0,86
300.,0,0,1000,0,105
310.,0,0,1000,0,110
320.,0,0,1000,0,109
330.,0,0,1000,0,68
340.,0,0,1000,0,104
350.,0,0,1000,0,96
360.,0,0,1000,0,107
370.,0,0,1000,0,105
380.,0,0,1000,0,103
390.,0,0,1000,0,97
400.,0,0,1000,0,93
410.,0,0,1000,0,76
420.,0,0,1000,0,101
430.,0,0,1000,0,117
440.,0,0,1000,0,97
450.,0,0,1000,0,95
460.,0,0,1000,0,97
470.,0,0,1000,0,105
480.,0,0,1000,0,109
490.,0,0,1000,0,112
500.,0,0,1000,0,115
510.,0,0,1000,0,113
520.,0,0,1000,0,88
530.,0,0,1000,0,113
540.,0,0,1000,0,102
550.,0,0,1000,0,106
560.,0,0,1000,0,105
570.,0,0,1000,0,94
580.,0,0,1000,0,117
590.,0,0,1000,0,120
600.,0,0,1000,0,81
610.,12647,12608,1000,39,101
620.,12647,12603,1000,44,90
630.,12647,12597,1000,50,94
640.,12647,12600,1000,47,75
650.,12647,12601,1000,46,102
660.,12647,12607,1000,40,89
