		KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	K2RT__FREE__	K2RT__FREE__	K2RT__FREE__	km2__FREE__	km2__FREE__	kphos__FREE__
		km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	kphos__FREE__	kdephos__FREE__	kdephos__FREE__
1st	2nd															
r1	r1	-0.8762159877452144	-0.875766602997094	-0.876006967563407	-0.874901612914562	-0.875533598700064	1.348703762440373e-05	1.3482091926569368e-05	1.3437115954514843e-05	1.3549225056226232e-05	1.4241975373280293e-05	1.4221073822707345e-05	1.4231970650246929e-05	9.824008477451234e-06	9.85625086643838e-06	2.939185561106163e-05
r1	r1_rev	-0.0016875916302399284	0.004160383712568856	0.0008177534773195203	0.0031741983316468363	-2.786123248716679e-05	0.006729357364605886	0.005307477927417944	0.006260354033369941	0.007491170575906312	0.0019750961987284603	0.0018577373015071213	0.0019997924108353395	0.002039112569781891	0.0021044053274159777	0.005506234397661508
r1	r2	0.02208456737293666	0.0195210594058269	0.049145611329887956	0.008055146030490474	0.00705673408249281	0.006758593668638582	0.020899149478805612	0.007955831141781132	0.008015861165952383	0.012896795192573002	0.01265018928573353	0.012363370142804132	0.001887540512044667	-0.0003919409538992621	0.0019721606387995837
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	-0.8571497496130577	-0.854083509532657	-0.8509392685174502	-0.855110693784728	-0.8558378467172381	-0.0008341841134524334	-0.0009503543696011675	-0.0013291008634742356	-0.0018294952035949079	-0.0018566036976704844	-0.0018138423237113355	-0.0017702209019728236	-0.0008057385499685838	-0.0007910115044022384	-0.0009069611247349094
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	-0.8925133903597353	-0.8920366079410275	-0.8922761582565635	-0.8911735862308608	-0.8918063774561618	1.3022482986511307e-05	1.3027629116291147e-05	1.2960192334324609e-05	1.3092134358509932e-05	1.4106118734648046e-05	1.4084821831543806e-05	1.4097456059808046e-05	1.0533462274886778e-05	1.056748050121251e-05	2.9779483865830074e-05
r1_rev	r1_rev	-0.0017087513197085156	0.00015415120043973701	-0.002090446427719657	-0.00019759458571559863	-0.0014715411298370582	0.0019548337777118147	0.0014940126054360857	0.0016017849176038306	0.002085686845444495	0.0019338290006337623	0.0018450435183019899	0.0019699855037236974	0.00044727723334791347	0.0005271677188769151	0.0035795172327217424
r1_rev	r2	-0.0012263118980515655	0.003559079688021614	0.00011018037514509368	0.000458500185016142	-0.0009871096682871087	0.0014615948687872016	0.0010774832260597967	0.0011000893281476413	0.0016280784771260885	0.004225739328999152	0.0039903816329169735	0.004189505527641049	-7.344745775106712e-05	0.0001456579628578991	0.004270241380979979
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	-0.12344605438854403	-0.08086405430970703	-0.1759709569602743	-0.13173913885674546	-0.1324070538920753	-0.0009548098335164235	0.006902190962482457	0.003636375738989054	0.0028138180286960994	-0.002761739776569405	-0.009452313016751417	-0.008069652887751317	-0.01610556525715614	-0.01642411949357592	-0.0028138686663624424
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	0.010660192067710211	0.01566407121652834	0.01535247269733813	0.0072166478941490374	0.008857117655514859	0.004538097807867014	0.008154212207709614	0.004457280017010618	0.004785396251450389	0.013421311091450484	0.00949702183176526	0.008662059116164269	0.004788474153196434	0.004033908423609903	0.0033599585980750592
r2	r3	0.04503408741577565	0.15142025282807892	0.04572828042435532	0.045729383639804326	0.04508312196705448	0.12721179630196822	0.1502825635110861	0.1502817360383416	0.14998108135457933	-0.12822397560865367	-0.18674963816605844	14.777625634553422	-0.0015555460150420836	-0.0014391209904804358	-0.0016727783656590167
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	0.011170749046790523	0.24375375779787456	0.011076920883810404	0.011761353186789395	0.011096055393417906	0.05313669568843893	0.04847193145472034	0.05069881700582948	0.04751072285048585	10.983612363062164	-0.4500593303030945	3.0664172225427406	0.15910112677747368	0.1585672866353454	0.006175987338033782
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
