# Output of 'KaSim' '-i' './SA_km1__FREE__/level0/model_level00_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level0' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 986777538
# "uuid" : "800599199"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,95
20.,0,0,1000,0,119
30.,0,0,1000,0,109
40.,0,0,1000,0,99
50.,0,0,1000,0,105
60.,0,0,1000,0,112
70.,0,0,1000,0,116
80.,0,0,1000,0,116
90.,0,0,1000,0,119
100.,0,0,1000,0,111
110.,0,0,1000,0,114
120.,0,0,1000,0,97
130.,0,0,1000,0,114
140.,0,0,1000,0,109
150.,0,0,1000,0,98
160.,0,0,1000,0,101
170.,0,0,1000,0,93
180.,0,0,1000,0,112
190.,0,0,1000,0,125
200.,0,0,1000,0,101
210.,0,0,1000,0,107
220.,0,0,1000,0,102
230.,0,0,1000,0,91
240.,0,0,1000,0,120
250.,0,0,1000,0,106
260.,0,0,1000,0,108
270.,0,0,1000,0,92
280.,0,0,1000,0,109
290.,0,0,1000,0,104
300.,0,0,1000,0,99
310.,0,0,1000,0,105
320.,0,0,1000,0,124
330.,0,0,1000,0,101
340.,0,0,1000,0,89
350.,0,0,1000,0,89
360.,0,0,1000,0,111
370.,0,0,1000,0,109
380.,0,0,1000,0,98
390.,0,0,1000,0,99
400.,0,0,1000,0,92
410.,0,0,1000,0,96
420.,0,0,1000,0,102
430.,0,0,1000,0,101
440.,0,0,1000,0,106
450.,0,0,1000,0,91
460.,0,0,1000,0,110
470.,0,0,1000,0,120
480.,0,0,1000,0,123
490.,0,0,1000,0,105
500.,0,0,1000,0,108
510.,0,0,1000,0,94
520.,0,0,1000,0,90
530.,0,0,1000,0,117
540.,0,0,1000,0,101
550.,0,0,1000,0,96
560.,0,0,1000,0,94
570.,0,0,1000,0,113
580.,0,0,1000,0,119
590.,0,0,1000,0,107
600.,0,0,1000,0,101
610.,12647,12647,1000,0,118
620.,12647,12647,1000,0,107
630.,12647,12647,1000,0,115
640.,12647,12647,1000,0,95
650.,12647,12647,1000,0,107
660.,12647,12647,1000,0,125
