# Output of 'KaSim' '-i' './SA_kphos__FREE__/level5/model_level05_kphos__FREE__.kappa' '-d' './SA_kphos__FREE__/level5' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 34452745
# "uuid" : "745722196"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,350
20.,0,0,1000,0,345
30.,0,0,1000,0,339
40.,0,0,1000,0,350
50.,0,0,1000,0,327
60.,0,0,1000,0,330
70.,0,0,1000,0,331
80.,0,0,1000,0,360
90.,0,0,1000,0,325
100.,0,0,1000,0,352
110.,0,0,1000,0,353
120.,0,0,1000,0,339
130.,0,0,1000,0,378
140.,0,0,1000,0,373
150.,0,0,1000,0,339
160.,0,0,1000,0,344
170.,0,0,1000,0,326
180.,0,0,1000,0,369
190.,0,0,1000,0,372
200.,0,0,1000,0,344
210.,0,0,1000,0,379
220.,0,0,1000,0,349
230.,0,0,1000,0,325
240.,0,0,1000,0,359
250.,0,0,1000,0,340
260.,0,0,1000,0,335
270.,0,0,1000,0,331
280.,0,0,1000,0,340
290.,0,0,1000,0,345
300.,0,0,1000,0,343
310.,0,0,1000,0,347
320.,0,0,1000,0,364
330.,0,0,1000,0,347
340.,0,0,1000,0,348
350.,0,0,1000,0,349
360.,0,0,1000,0,363
370.,0,0,1000,0,379
380.,0,0,1000,0,303
390.,0,0,1000,0,332
400.,0,0,1000,0,365
410.,0,0,1000,0,357
420.,0,0,1000,0,368
430.,0,0,1000,0,341
440.,0,0,1000,0,378
450.,0,0,1000,0,322
460.,0,0,1000,0,335
470.,0,0,1000,0,326
480.,0,0,1000,0,364
490.,0,0,1000,0,312
500.,0,0,1000,0,349
510.,0,0,1000,0,332
520.,0,0,1000,0,348
530.,0,0,1000,0,342
540.,0,0,1000,0,342
550.,0,0,1000,0,349
560.,0,0,1000,0,327
570.,0,0,1000,0,318
580.,0,0,1000,0,365
590.,0,0,1000,0,304
600.,0,0,1000,0,364
610.,12647,12174,1000,473,401
620.,12647,12169,1000,478,387
630.,12647,12158,1000,489,431
640.,12647,12148,1000,499,423
650.,12647,12181,1000,466,412
660.,12647,12161,1000,486,427
