# Output of 'KaSim' '-i' './SA_km2__FREE__/level8/model_level08_km2__FREE__.kappa' '-d' './SA_km2__FREE__/level8' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 807869752
# "uuid" : "223849797"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,134
20.,0,0,1000,0,119
30.,0,0,1000,0,141
40.,0,0,1000,0,148
50.,0,0,1000,0,132
60.,0,0,1000,0,122
70.,0,0,1000,0,129
80.,0,0,1000,0,119
90.,0,0,1000,0,122
100.,0,0,1000,0,139
110.,0,0,1000,0,122
120.,0,0,1000,0,145
130.,0,0,1000,0,126
140.,0,0,1000,0,123
150.,0,0,1000,0,124
160.,0,0,1000,0,126
170.,0,0,1000,0,130
180.,0,0,1000,0,135
190.,0,0,1000,0,124
200.,0,0,1000,0,130
210.,0,0,1000,0,119
220.,0,0,1000,0,130
230.,0,0,1000,0,116
240.,0,0,1000,0,135
250.,0,0,1000,0,118
260.,0,0,1000,0,146
270.,0,0,1000,0,110
280.,0,0,1000,0,129
290.,0,0,1000,0,135
300.,0,0,1000,0,130
310.,0,0,1000,0,99
320.,0,0,1000,0,134
330.,0,0,1000,0,139
340.,0,0,1000,0,113
350.,0,0,1000,0,125
360.,0,0,1000,0,141
370.,0,0,1000,0,124
380.,0,0,1000,0,120
390.,0,0,1000,0,114
400.,0,0,1000,0,126
410.,0,0,1000,0,135
420.,0,0,1000,0,132
430.,0,0,1000,0,136
440.,0,0,1000,0,149
450.,0,0,1000,0,140
460.,0,0,1000,0,131
470.,0,0,1000,0,137
480.,0,0,1000,0,114
490.,0,0,1000,0,110
500.,0,0,1000,0,100
510.,0,0,1000,0,125
520.,0,0,1000,0,117
530.,0,0,1000,0,117
540.,0,0,1000,0,123
550.,0,0,1000,0,122
560.,0,0,1000,0,111
570.,0,0,1000,0,120
580.,0,0,1000,0,127
590.,0,0,1000,0,115
600.,0,0,1000,0,136
610.,12647,12157,1000,490,153
620.,12647,12153,1000,494,153
630.,12647,12149,1000,498,150
640.,12647,12134,1000,513,140
650.,12647,12152,1000,495,146
660.,12647,12164,1000,483,162
