# Output of 'KaSim' '-i' './SA_km1__FREE__/level9/model_level09_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level9' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 957181343
# "uuid" : "998522418"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,115
20.,0,0,1000,0,94
30.,0,0,1000,0,107
40.,0,0,1000,0,106
50.,0,0,1000,0,100
60.,0,0,1000,0,114
70.,0,0,1000,0,111
80.,0,0,1000,0,89
90.,0,0,1000,0,104
100.,0,0,1000,0,123
110.,0,0,1000,0,117
120.,0,0,1000,0,88
130.,0,0,1000,0,97
140.,0,0,1000,0,116
150.,0,0,1000,0,115
160.,0,0,1000,0,116
170.,0,0,1000,0,93
180.,0,0,1000,0,90
190.,0,0,1000,0,115
200.,0,0,1000,0,101
210.,0,0,1000,0,104
220.,0,0,1000,0,87
230.,0,0,1000,0,98
240.,0,0,1000,0,103
250.,0,0,1000,0,113
260.,0,0,1000,0,86
270.,0,0,1000,0,84
280.,0,0,1000,0,100
290.,0,0,1000,0,88
300.,0,0,1000,0,113
310.,0,0,1000,0,106
320.,0,0,1000,0,106
330.,0,0,1000,0,112
340.,0,0,1000,0,118
350.,0,0,1000,0,90
360.,0,0,1000,0,83
370.,0,0,1000,0,126
380.,0,0,1000,0,101
390.,0,0,1000,0,105
400.,0,0,1000,0,99
410.,0,0,1000,0,133
420.,0,0,1000,0,118
430.,0,0,1000,0,85
440.,0,0,1000,0,113
450.,0,0,1000,0,99
460.,0,0,1000,0,108
470.,0,0,1000,0,94
480.,0,0,1000,0,103
490.,0,0,1000,0,99
500.,0,0,1000,0,98
510.,0,0,1000,0,122
520.,0,0,1000,0,103
530.,0,0,1000,0,105
540.,0,0,1000,0,104
550.,0,0,1000,0,125
560.,0,0,1000,0,87
570.,0,0,1000,0,93
580.,0,0,1000,0,105
590.,0,0,1000,0,90
600.,0,0,1000,0,89
610.,12647,12174,1000,473,127
620.,12647,12171,1000,476,146
630.,12647,12157,1000,490,135
640.,12647,12165,1000,482,119
650.,12647,12172,1000,475,121
660.,12647,12141,1000,506,129
