# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level1/model_level01_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level1' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 558975289
# "uuid" : "773538521"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,12
20.,0,0,1000,0,19
30.,0,0,1000,0,12
40.,0,0,1000,0,13
50.,0,0,1000,0,12
60.,0,0,1000,0,19
70.,0,0,1000,0,13
80.,0,0,1000,0,14
90.,0,0,1000,0,9
100.,0,0,1000,0,11
110.,0,0,1000,0,5
120.,0,0,1000,0,9
130.,0,0,1000,0,15
140.,0,0,1000,0,6
150.,0,0,1000,0,13
160.,0,0,1000,0,16
170.,0,0,1000,0,17
180.,0,0,1000,0,9
190.,0,0,1000,0,12
200.,0,0,1000,0,11
210.,0,0,1000,0,15
220.,0,0,1000,0,14
230.,0,0,1000,0,16
240.,0,0,1000,0,12
250.,0,0,1000,0,12
260.,0,0,1000,0,13
270.,0,0,1000,0,10
280.,0,0,1000,0,15
290.,0,0,1000,0,10
300.,0,0,1000,0,20
310.,0,0,1000,0,19
320.,0,0,1000,0,15
330.,0,0,1000,0,22
340.,0,0,1000,0,7
350.,0,0,1000,0,12
360.,0,0,1000,0,13
370.,0,0,1000,0,16
380.,0,0,1000,0,21
390.,0,0,1000,0,11
400.,0,0,1000,0,8
410.,0,0,1000,0,18
420.,0,0,1000,0,9
430.,0,0,1000,0,18
440.,0,0,1000,0,22
450.,0,0,1000,0,15
460.,0,0,1000,0,10
470.,0,0,1000,0,13
480.,0,0,1000,0,11
490.,0,0,1000,0,17
500.,0,0,1000,0,10
510.,0,0,1000,0,8
520.,0,0,1000,0,13
530.,0,0,1000,0,4
540.,0,0,1000,0,13
550.,0,0,1000,0,16
560.,0,0,1000,0,8
570.,0,0,1000,0,14
580.,0,0,1000,0,11
590.,0,0,1000,0,12
600.,0,0,1000,0,16
610.,12647,12161,1000,486,17
620.,12647,12161,1000,486,10
630.,12647,12150,1000,497,20
640.,12647,12111,1000,536,18
650.,12647,12162,1000,485,19
660.,12647,12146,1000,501,18
