# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level9/model_level09_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level9' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 712734731
# "uuid" : "671085979"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,1
20.,0,0,1000,0,2
30.,0,0,1000,0,0
40.,0,0,1000,0,3
50.,0,0,1000,0,0
60.,0,0,1000,0,0
70.,0,0,1000,0,2
80.,0,0,1000,0,3
90.,0,0,1000,0,1
100.,0,0,1000,0,5
110.,0,0,1000,0,1
120.,0,0,1000,0,1
130.,0,0,1000,0,3
140.,0,0,1000,0,2
150.,0,0,1000,0,0
160.,0,0,1000,0,1
170.,0,0,1000,0,2
180.,0,0,1000,0,2
190.,0,0,1000,0,2
200.,0,0,1000,0,1
210.,0,0,1000,0,1
220.,0,0,1000,0,0
230.,0,0,1000,0,0
240.,0,0,1000,0,2
250.,0,0,1000,0,1
260.,0,0,1000,0,1
270.,0,0,1000,0,2
280.,0,0,1000,0,2
290.,0,0,1000,0,3
300.,0,0,1000,0,1
310.,0,0,1000,0,2
320.,0,0,1000,0,1
330.,0,0,1000,0,2
340.,0,0,1000,0,2
350.,0,0,1000,0,6
360.,0,0,1000,0,4
370.,0,0,1000,0,2
380.,0,0,1000,0,2
390.,0,0,1000,0,2
400.,0,0,1000,0,0
410.,0,0,1000,0,2
420.,0,0,1000,0,6
430.,0,0,1000,0,4
440.,0,0,1000,0,1
450.,0,0,1000,0,3
460.,0,0,1000,0,0
470.,0,0,1000,0,3
480.,0,0,1000,0,1
490.,0,0,1000,0,1
500.,0,0,1000,0,0
510.,0,0,1000,0,1
520.,0,0,1000,0,3
530.,0,0,1000,0,4
540.,0,0,1000,0,0
550.,0,0,1000,0,0
560.,0,0,1000,0,3
570.,0,0,1000,0,2
580.,0,0,1000,0,0
590.,0,0,1000,0,2
600.,0,0,1000,0,1
610.,12647,12193,1000,454,4
620.,12647,12161,1000,486,2
630.,12647,12176,1000,471,2
640.,12647,12162,1000,485,1
650.,12647,12178,1000,469,3
660.,12647,12140,1000,507,3
