# Output of 'KaSim' '-i' './SA_KD1__FREE__/level4/model_level04_KD1__FREE__.kappa' '-d' './SA_KD1__FREE__/level4' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 291153957
# "uuid" : "927742708"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,106
20.,0,0,1000,0,98
30.,0,0,1000,0,100
40.,0,0,1000,0,108
50.,0,0,1000,0,105
60.,0,0,1000,0,89
70.,0,0,1000,0,96
80.,0,0,1000,0,102
90.,0,0,1000,0,111
100.,0,0,1000,0,89
110.,0,0,1000,0,114
120.,0,0,1000,0,104
130.,0,0,1000,0,99
140.,0,0,1000,0,95
150.,0,0,1000,0,107
160.,0,0,1000,0,113
170.,0,0,1000,0,96
180.,0,0,1000,0,98
190.,0,0,1000,0,118
200.,0,0,1000,0,82
210.,0,0,1000,0,114
220.,0,0,1000,0,101
230.,0,0,1000,0,104
240.,0,0,1000,0,105
250.,0,0,1000,0,117
260.,0,0,1000,0,89
270.,0,0,1000,0,110
280.,0,0,1000,0,108
290.,0,0,1000,0,108
300.,0,0,1000,0,116
310.,0,0,1000,0,93
320.,0,0,1000,0,103
330.,0,0,1000,0,97
340.,0,0,1000,0,92
350.,0,0,1000,0,98
360.,0,0,1000,0,109
370.,0,0,1000,0,100
380.,0,0,1000,0,102
390.,0,0,1000,0,108
400.,0,0,1000,0,103
410.,0,0,1000,0,85
420.,0,0,1000,0,113
430.,0,0,1000,0,113
440.,0,0,1000,0,118
450.,0,0,1000,0,119
460.,0,0,1000,0,101
470.,0,0,1000,0,87
480.,0,0,1000,0,92
490.,0,0,1000,0,97
500.,0,0,1000,0,101
510.,0,0,1000,0,95
520.,0,0,1000,0,109
530.,0,0,1000,0,83
540.,0,0,1000,0,127
550.,0,0,1000,0,120
560.,0,0,1000,0,106
570.,0,0,1000,0,99
580.,0,0,1000,0,95
590.,0,0,1000,0,106
600.,0,0,1000,0,120
610.,12647,12619,1000,28,138
620.,12647,12625,1000,22,106
630.,12647,12625,1000,22,85
640.,12647,12621,1000,26,97
650.,12647,12626,1000,21,97
660.,12647,12623,1000,24,91
