# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level4/model_level04_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level4' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 889352269
# "uuid" : "961392978"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,3
20.,0,0,1000,0,2
30.,0,0,1000,0,3
40.,0,0,1000,0,3
50.,0,0,1000,0,6
60.,0,0,1000,0,4
70.,0,0,1000,0,0
80.,0,0,1000,0,3
90.,0,0,1000,0,2
100.,0,0,1000,0,3
110.,0,0,1000,0,2
120.,0,0,1000,0,3
130.,0,0,1000,0,6
140.,0,0,1000,0,2
150.,0,0,1000,0,4
160.,0,0,1000,0,2
170.,0,0,1000,0,8
180.,0,0,1000,0,4
190.,0,0,1000,0,0
200.,0,0,1000,0,3
210.,0,0,1000,0,6
220.,0,0,1000,0,6
230.,0,0,1000,0,4
240.,0,0,1000,0,4
250.,0,0,1000,0,2
260.,0,0,1000,0,4
270.,0,0,1000,0,4
280.,0,0,1000,0,3
290.,0,0,1000,0,3
300.,0,0,1000,0,3
310.,0,0,1000,0,3
320.,0,0,1000,0,3
330.,0,0,1000,0,5
340.,0,0,1000,0,3
350.,0,0,1000,0,4
360.,0,0,1000,0,0
370.,0,0,1000,0,7
380.,0,0,1000,0,7
390.,0,0,1000,0,2
400.,0,0,1000,0,6
410.,0,0,1000,0,1
420.,0,0,1000,0,4
430.,0,0,1000,0,2
440.,0,0,1000,0,4
450.,0,0,1000,0,3
460.,0,0,1000,0,3
470.,0,0,1000,0,0
480.,0,0,1000,0,4
490.,0,0,1000,0,2
500.,0,0,1000,0,4
510.,0,0,1000,0,2
520.,0,0,1000,0,4
530.,0,0,1000,0,1
540.,0,0,1000,0,2
550.,0,0,1000,0,4
560.,0,0,1000,0,3
570.,0,0,1000,0,3
580.,0,0,1000,0,3
590.,0,0,1000,0,3
600.,0,0,1000,0,2
610.,12647,12186,1000,461,4
620.,12647,12162,1000,485,5
630.,12647,12164,1000,483,5
640.,12647,12144,1000,503,2
650.,12647,12173,1000,474,7
660.,12647,12139,1000,508,6
