# Output of 'KaSim' '-i' './SA_km2__FREE__/level5/model_level05_km2__FREE__.kappa' '-d' './SA_km2__FREE__/level5' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 234236544
# "uuid" : "13461277"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,127
20.,0,0,1000,0,114
30.,0,0,1000,0,130
40.,0,0,1000,0,141
50.,0,0,1000,0,129
60.,0,0,1000,0,120
70.,0,0,1000,0,113
80.,0,0,1000,0,136
90.,0,0,1000,0,127
100.,0,0,1000,0,123
110.,0,0,1000,0,135
120.,0,0,1000,0,130
130.,0,0,1000,0,131
140.,0,0,1000,0,120
150.,0,0,1000,0,143
160.,0,0,1000,0,127
170.,0,0,1000,0,130
180.,0,0,1000,0,119
190.,0,0,1000,0,119
200.,0,0,1000,0,129
210.,0,0,1000,0,150
220.,0,0,1000,0,127
230.,0,0,1000,0,129
240.,0,0,1000,0,125
250.,0,0,1000,0,149
260.,0,0,1000,0,136
270.,0,0,1000,0,125
280.,0,0,1000,0,111
290.,0,0,1000,0,131
300.,0,0,1000,0,123
310.,0,0,1000,0,116
320.,0,0,1000,0,144
330.,0,0,1000,0,138
340.,0,0,1000,0,138
350.,0,0,1000,0,123
360.,0,0,1000,0,138
370.,0,0,1000,0,129
380.,0,0,1000,0,132
390.,0,0,1000,0,141
400.,0,0,1000,0,117
410.,0,0,1000,0,146
420.,0,0,1000,0,143
430.,0,0,1000,0,112
440.,0,0,1000,0,129
450.,0,0,1000,0,130
460.,0,0,1000,0,154
470.,0,0,1000,0,124
480.,0,0,1000,0,142
490.,0,0,1000,0,120
500.,0,0,1000,0,133
510.,0,0,1000,0,123
520.,0,0,1000,0,135
530.,0,0,1000,0,142
540.,0,0,1000,0,125
550.,0,0,1000,0,100
560.,0,0,1000,0,127
570.,0,0,1000,0,124
580.,0,0,1000,0,103
590.,0,0,1000,0,131
600.,0,0,1000,0,123
610.,12647,12149,1000,498,134
620.,12647,12147,1000,500,152
630.,12647,12153,1000,494,144
640.,12647,12150,1000,497,137
650.,12647,12190,1000,457,141
660.,12647,12166,1000,481,153
