# Output of 'KaSim' '-i' './SA_km2__FREE__/level4/model_level04_km2__FREE__.kappa' '-d' './SA_km2__FREE__/level4' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 173808493
# "uuid" : "593782242"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,130
20.,0,0,1000,0,113
30.,0,0,1000,0,141
40.,0,0,1000,0,136
50.,0,0,1000,0,137
60.,0,0,1000,0,121
70.,0,0,1000,0,115
80.,0,0,1000,0,133
90.,0,0,1000,0,125
100.,0,0,1000,0,115
110.,0,0,1000,0,112
120.,0,0,1000,0,115
130.,0,0,1000,0,144
140.,0,0,1000,0,142
150.,0,0,1000,0,126
160.,0,0,1000,0,142
170.,0,0,1000,0,133
180.,0,0,1000,0,126
190.,0,0,1000,0,128
200.,0,0,1000,0,141
210.,0,0,1000,0,116
220.,0,0,1000,0,117
230.,0,0,1000,0,123
240.,0,0,1000,0,139
250.,0,0,1000,0,126
260.,0,0,1000,0,127
270.,0,0,1000,0,125
280.,0,0,1000,0,136
290.,0,0,1000,0,119
300.,0,0,1000,0,130
310.,0,0,1000,0,131
320.,0,0,1000,0,125
330.,0,0,1000,0,124
340.,0,0,1000,0,132
350.,0,0,1000,0,145
360.,0,0,1000,0,119
370.,0,0,1000,0,135
380.,0,0,1000,0,138
390.,0,0,1000,0,134
400.,0,0,1000,0,145
410.,0,0,1000,0,128
420.,0,0,1000,0,114
430.,0,0,1000,0,123
440.,0,0,1000,0,127
450.,0,0,1000,0,118
460.,0,0,1000,0,137
470.,0,0,1000,0,123
480.,0,0,1000,0,113
490.,0,0,1000,0,128
500.,0,0,1000,0,138
510.,0,0,1000,0,112
520.,0,0,1000,0,133
530.,0,0,1000,0,119
540.,0,0,1000,0,127
550.,0,0,1000,0,113
560.,0,0,1000,0,123
570.,0,0,1000,0,120
580.,0,0,1000,0,122
590.,0,0,1000,0,135
600.,0,0,1000,0,121
610.,12647,12154,1000,493,145
620.,12647,12146,1000,501,141
630.,12647,12173,1000,474,146
640.,12647,12167,1000,480,149
650.,12647,12167,1000,480,145
660.,12647,12145,1000,502,164
