# Output of 'KaSim' '-i' './SA_km1__FREE__/level6/model_level06_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level6' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 800992455
# "uuid" : "126224307"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,106
20.,0,0,1000,0,110
30.,0,0,1000,0,118
40.,0,0,1000,0,113
50.,0,0,1000,0,115
60.,0,0,1000,0,114
70.,0,0,1000,0,104
80.,0,0,1000,0,110
90.,0,0,1000,0,91
100.,0,0,1000,0,99
110.,0,0,1000,0,120
120.,0,0,1000,0,112
130.,0,0,1000,0,96
140.,0,0,1000,0,100
150.,0,0,1000,0,100
160.,0,0,1000,0,88
170.,0,0,1000,0,129
180.,0,0,1000,0,103
190.,0,0,1000,0,79
200.,0,0,1000,0,116
210.,0,0,1000,0,95
220.,0,0,1000,0,109
230.,0,0,1000,0,106
240.,0,0,1000,0,106
250.,0,0,1000,0,103
260.,0,0,1000,0,98
270.,0,0,1000,0,111
280.,0,0,1000,0,89
290.,0,0,1000,0,88
300.,0,0,1000,0,108
310.,0,0,1000,0,106
320.,0,0,1000,0,98
330.,0,0,1000,0,86
340.,0,0,1000,0,104
350.,0,0,1000,0,92
360.,0,0,1000,0,105
370.,0,0,1000,0,117
380.,0,0,1000,0,82
390.,0,0,1000,0,96
400.,0,0,1000,0,96
410.,0,0,1000,0,102
420.,0,0,1000,0,105
430.,0,0,1000,0,118
440.,0,0,1000,0,105
450.,0,0,1000,0,90
460.,0,0,1000,0,102
470.,0,0,1000,0,99
480.,0,0,1000,0,116
490.,0,0,1000,0,124
500.,0,0,1000,0,126
510.,0,0,1000,0,113
520.,0,0,1000,0,99
530.,0,0,1000,0,100
540.,0,0,1000,0,122
550.,0,0,1000,0,94
560.,0,0,1000,0,104
570.,0,0,1000,0,119
580.,0,0,1000,0,84
590.,0,0,1000,0,99
600.,0,0,1000,0,101
610.,12647,12154,1000,493,159
620.,12647,12151,1000,496,133
630.,12647,12127,1000,520,128
640.,12647,12146,1000,501,135
650.,12647,12134,1000,513,132
660.,12647,12153,1000,494,124
