# Output of 'KaSim' '-i' './SA_km1__FREE__/level4/model_level04_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level4' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 62664143
# "uuid" : "580513805"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,108
20.,0,0,1000,0,102
30.,0,0,1000,0,104
40.,0,0,1000,0,108
50.,0,0,1000,0,106
60.,0,0,1000,0,102
70.,0,0,1000,0,104
80.,0,0,1000,0,100
90.,0,0,1000,0,100
100.,0,0,1000,0,96
110.,0,0,1000,0,114
120.,0,0,1000,0,113
130.,0,0,1000,0,107
140.,0,0,1000,0,110
150.,0,0,1000,0,85
160.,0,0,1000,0,106
170.,0,0,1000,0,121
180.,0,0,1000,0,112
190.,0,0,1000,0,93
200.,0,0,1000,0,118
210.,0,0,1000,0,97
220.,0,0,1000,0,119
230.,0,0,1000,0,91
240.,0,0,1000,0,130
250.,0,0,1000,0,88
260.,0,0,1000,0,123
270.,0,0,1000,0,102
280.,0,0,1000,0,109
290.,0,0,1000,0,109
300.,0,0,1000,0,86
310.,0,0,1000,0,118
320.,0,0,1000,0,99
330.,0,0,1000,0,102
340.,0,0,1000,0,101
350.,0,0,1000,0,112
360.,0,0,1000,0,105
370.,0,0,1000,0,97
380.,0,0,1000,0,104
390.,0,0,1000,0,114
400.,0,0,1000,0,96
410.,0,0,1000,0,97
420.,0,0,1000,0,108
430.,0,0,1000,0,86
440.,0,0,1000,0,88
450.,0,0,1000,0,100
460.,0,0,1000,0,99
470.,0,0,1000,0,109
480.,0,0,1000,0,100
490.,0,0,1000,0,91
500.,0,0,1000,0,111
510.,0,0,1000,0,94
520.,0,0,1000,0,105
530.,0,0,1000,0,102
540.,0,0,1000,0,96
550.,0,0,1000,0,95
560.,0,0,1000,0,89
570.,0,0,1000,0,95
580.,0,0,1000,0,117
590.,0,0,1000,0,110
600.,0,0,1000,0,83
610.,12647,12152,1000,495,136
620.,12647,12172,1000,475,146
630.,12647,12136,1000,511,147
640.,12647,12155,1000,492,140
650.,12647,12126,1000,521,135
660.,12647,12129,1000,518,132
