# Output of 'KaSim' '-i' './SA_KD1__FREE__/level5/model_level05_KD1__FREE__.kappa' '-d' './SA_KD1__FREE__/level5' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 309121804
# "uuid" : "454340194"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,103
20.,0,0,1000,0,102
30.,0,0,1000,0,102
40.,0,0,1000,0,97
50.,0,0,1000,0,96
60.,0,0,1000,0,97
70.,0,0,1000,0,114
80.,0,0,1000,0,96
90.,0,0,1000,0,85
100.,0,0,1000,0,101
110.,0,0,1000,0,109
120.,0,0,1000,0,103
130.,0,0,1000,0,100
140.,0,0,1000,0,108
150.,0,0,1000,0,103
160.,0,0,1000,0,95
170.,0,0,1000,0,103
180.,0,0,1000,0,120
190.,0,0,1000,0,109
200.,0,0,1000,0,109
210.,0,0,1000,0,113
220.,0,0,1000,0,109
230.,0,0,1000,0,110
240.,0,0,1000,0,88
250.,0,0,1000,0,95
260.,0,0,1000,0,102
270.,0,0,1000,0,104
280.,0,0,1000,0,92
290.,0,0,1000,0,102
300.,0,0,1000,0,91
310.,0,0,1000,0,101
320.,0,0,1000,0,107
330.,0,0,1000,0,111
340.,0,0,1000,0,109
350.,0,0,1000,0,97
360.,0,0,1000,0,114
370.,0,0,1000,0,101
380.,0,0,1000,0,102
390.,0,0,1000,0,117
400.,0,0,1000,0,99
410.,0,0,1000,0,99
420.,0,0,1000,0,86
430.,0,0,1000,0,106
440.,0,0,1000,0,109
450.,0,0,1000,0,118
460.,0,0,1000,0,106
470.,0,0,1000,0,95
480.,0,0,1000,0,108
490.,0,0,1000,0,109
500.,0,0,1000,0,90
510.,0,0,1000,0,106
520.,0,0,1000,0,100
530.,0,0,1000,0,112
540.,0,0,1000,0,106
550.,0,0,1000,0,111
560.,0,0,1000,0,101
570.,0,0,1000,0,109
580.,0,0,1000,0,90
590.,0,0,1000,0,90
600.,0,0,1000,0,113
610.,12647,12627,1000,20,138
620.,12647,12627,1000,20,98
630.,12647,12628,1000,19,109
640.,12647,12625,1000,22,97
650.,12647,12625,1000,22,111
660.,12647,12629,1000,18,99
