# Output of 'KaSim' '-i' './SA_K2RT__FREE__/level2/model_level02_K2RT__FREE__.kappa' '-d' './SA_K2RT__FREE__/level2' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 550215449
# "uuid" : "601232682"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,392
20.,0,0,1000,0,389
30.,0,0,1000,0,370
40.,0,0,1000,0,386
50.,0,0,1000,0,355
60.,0,0,1000,0,370
70.,0,0,1000,0,343
80.,0,0,1000,0,377
90.,0,0,1000,0,362
100.,0,0,1000,0,364
110.,0,0,1000,0,372
120.,0,0,1000,0,386
130.,0,0,1000,0,370
140.,0,0,1000,0,390
150.,0,0,1000,0,369
160.,0,0,1000,0,361
170.,0,0,1000,0,370
180.,0,0,1000,0,355
190.,0,0,1000,0,377
200.,0,0,1000,0,379
210.,0,0,1000,0,374
220.,0,0,1000,0,359
230.,0,0,1000,0,332
240.,0,0,1000,0,362
250.,0,0,1000,0,345
260.,0,0,1000,0,371
270.,0,0,1000,0,376
280.,0,0,1000,0,373
290.,0,0,1000,0,369
300.,0,0,1000,0,334
310.,0,0,1000,0,363
320.,0,0,1000,0,373
330.,0,0,1000,0,361
340.,0,0,1000,0,340
350.,0,0,1000,0,354
360.,0,0,1000,0,357
370.,0,0,1000,0,364
380.,0,0,1000,0,359
390.,0,0,1000,0,365
400.,0,0,1000,0,355
410.,0,0,1000,0,370
420.,0,0,1000,0,359
430.,0,0,1000,0,375
440.,0,0,1000,0,359
450.,0,0,1000,0,369
460.,0,0,1000,0,353
470.,0,0,1000,0,360
480.,0,0,1000,0,396
490.,0,0,1000,0,366
500.,0,0,1000,0,349
510.,0,0,1000,0,377
520.,0,0,1000,0,347
530.,0,0,1000,0,350
540.,0,0,1000,0,355
550.,0,0,1000,0,351
560.,0,0,1000,0,365
570.,0,0,1000,0,368
580.,0,0,1000,0,373
590.,0,0,1000,0,373
600.,0,0,1000,0,379
610.,12647,12162,1000,485,371
620.,12647,12163,1000,484,372
630.,12647,12159,1000,488,376
640.,12647,12175,1000,472,360
650.,12647,12183,1000,464,352
660.,12647,12160,1000,487,372
