# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level8/model_level08_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level8' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 851174252
# "uuid" : "905016321"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,1
20.,0,0,1000,0,0
30.,0,0,1000,0,2
40.,0,0,1000,0,1
50.,0,0,1000,0,2
60.,0,0,1000,0,1
70.,0,0,1000,0,1
80.,0,0,1000,0,2
90.,0,0,1000,0,4
100.,0,0,1000,0,1
110.,0,0,1000,0,3
120.,0,0,1000,0,1
130.,0,0,1000,0,4
140.,0,0,1000,0,3
150.,0,0,1000,0,3
160.,0,0,1000,0,3
170.,0,0,1000,0,3
180.,0,0,1000,0,1
190.,0,0,1000,0,1
200.,0,0,1000,0,4
210.,0,0,1000,0,3
220.,0,0,1000,0,3
230.,0,0,1000,0,4
240.,0,0,1000,0,1
250.,0,0,1000,0,0
260.,0,0,1000,0,2
270.,0,0,1000,0,3
280.,0,0,1000,0,2
290.,0,0,1000,0,1
300.,0,0,1000,0,3
310.,0,0,1000,0,4
320.,0,0,1000,0,3
330.,0,0,1000,0,1
340.,0,0,1000,0,2
350.,0,0,1000,0,3
360.,0,0,1000,0,0
370.,0,0,1000,0,0
380.,0,0,1000,0,0
390.,0,0,1000,0,0
400.,0,0,1000,0,1
410.,0,0,1000,0,1
420.,0,0,1000,0,0
430.,0,0,1000,0,2
440.,0,0,1000,0,0
450.,0,0,1000,0,1
460.,0,0,1000,0,3
470.,0,0,1000,0,0
480.,0,0,1000,0,2
490.,0,0,1000,0,2
500.,0,0,1000,0,4
510.,0,0,1000,0,1
520.,0,0,1000,0,1
530.,0,0,1000,0,1
540.,0,0,1000,0,1
550.,0,0,1000,0,1
560.,0,0,1000,0,0
570.,0,0,1000,0,1
580.,0,0,1000,0,1
590.,0,0,1000,0,1
600.,0,0,1000,0,1
610.,12647,12166,1000,481,1
620.,12647,12132,1000,515,1
630.,12647,12145,1000,502,2
640.,12647,12150,1000,497,0
650.,12647,12142,1000,505,5
660.,12647,12142,1000,505,2
