# Output of 'KaSim' '-i' 'model_level08.kappa' '-l' '660' '-p' '10' '-o' 'model_level08.out.txt' '-syntax' '3' '--no-log' -seed 989472916
# "uuid" : "1012886998"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,174
20.,0,0,1000,0,179
30.,0,0,1000,0,180
40.,0,0,1000,0,181
50.,0,0,1000,0,209
60.,0,0,1000,0,218
70.,0,0,1000,0,195
80.,0,0,1000,0,197
90.,0,0,1000,0,212
100.,0,0,1000,0,183
110.,0,0,1000,0,209
120.,0,0,1000,0,201
130.,0,0,1000,0,198
140.,0,0,1000,0,188
150.,0,0,1000,0,200
160.,0,0,1000,0,196
170.,0,0,1000,0,203
180.,0,0,1000,0,170
190.,0,0,1000,0,202
200.,0,0,1000,0,193
210.,0,0,1000,0,210
220.,0,0,1000,0,200
230.,0,0,1000,0,208
240.,0,0,1000,0,199
250.,0,0,1000,0,175
260.,0,0,1000,0,174
270.,0,0,1000,0,193
280.,0,0,1000,0,179
290.,0,0,1000,0,207
300.,0,0,1000,0,185
310.,0,0,1000,0,177
320.,0,0,1000,0,199
330.,0,0,1000,0,185
340.,0,0,1000,0,189
350.,0,0,1000,0,194
360.,0,0,1000,0,171
370.,0,0,1000,0,182
380.,0,0,1000,0,179
390.,0,0,1000,0,200
400.,0,0,1000,0,186
410.,0,0,1000,0,211
420.,0,0,1000,0,189
430.,0,0,1000,0,210
440.,0,0,1000,0,191
450.,0,0,1000,0,193
460.,0,0,1000,0,195
470.,0,0,1000,0,178
480.,0,0,1000,0,188
490.,0,0,1000,0,197
500.,0,0,1000,0,184
510.,0,0,1000,0,174
520.,0,0,1000,0,204
530.,0,0,1000,0,193
540.,0,0,1000,0,182
550.,0,0,1000,0,195
560.,0,0,1000,0,210
570.,0,0,1000,0,193
580.,0,0,1000,0,166
590.,0,0,1000,0,178
600.,0,0,1000,0,188
610.,12647,12593,1000,54,192
620.,12647,12602,1000,45,181
630.,12647,12595,1000,52,187
640.,12647,12598,1000,49,180
650.,12647,12603,1000,44,200
660.,12647,12598,1000,49,198
