# Output of 'KaSim' '-i' 'model_level06.kappa' '-l' '660' '-p' '10' '-o' 'model_level06.out.txt' '-syntax' '3' '--no-log' -seed 434872253
# "uuid" : "920392115"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,56
20.,0,0,1000,0,67
30.,0,0,1000,0,63
40.,0,0,1000,0,82
50.,0,0,1000,0,55
60.,0,0,1000,0,59
70.,0,0,1000,0,70
80.,0,0,1000,0,54
90.,0,0,1000,0,67
100.,0,0,1000,0,60
110.,0,0,1000,0,61
120.,0,0,1000,0,75
130.,0,0,1000,0,43
140.,0,0,1000,0,70
150.,0,0,1000,0,55
160.,0,0,1000,0,82
170.,0,0,1000,0,65
180.,0,0,1000,0,64
190.,0,0,1000,0,87
200.,0,0,1000,0,61
210.,0,0,1000,0,63
220.,0,0,1000,0,61
230.,0,0,1000,0,72
240.,0,0,1000,0,71
250.,0,0,1000,0,48
260.,0,0,1000,0,50
270.,0,0,1000,0,53
280.,0,0,1000,0,69
290.,0,0,1000,0,55
300.,0,0,1000,0,66
310.,0,0,1000,0,76
320.,0,0,1000,0,64
330.,0,0,1000,0,81
340.,0,0,1000,0,75
350.,0,0,1000,0,60
360.,0,0,1000,0,69
370.,0,0,1000,0,62
380.,0,0,1000,0,61
390.,0,0,1000,0,59
400.,0,0,1000,0,68
410.,0,0,1000,0,56
420.,0,0,1000,0,55
430.,0,0,1000,0,62
440.,0,0,1000,0,59
450.,0,0,1000,0,63
460.,0,0,1000,0,67
470.,0,0,1000,0,60
480.,0,0,1000,0,55
490.,0,0,1000,0,63
500.,0,0,1000,0,65
510.,0,0,1000,0,62
520.,0,0,1000,0,73
530.,0,0,1000,0,70
540.,0,0,1000,0,80
550.,0,0,1000,0,59
560.,0,0,1000,0,68
570.,0,0,1000,0,56
580.,0,0,1000,0,52
590.,0,0,1000,0,76
600.,0,0,1000,0,68
610.,12647,12607,1000,40,61
620.,12647,12602,1000,45,58
630.,12647,12612,1000,35,48
640.,12647,12604,1000,43,76
650.,12647,12608,1000,39,68
660.,12647,12610,1000,37,55
