# Output of 'KaSim' '-i' 'model_level01.kappa' '-l' '660' '-p' '10' '-o' 'model_level01.out.txt' '-syntax' '3' '--no-log' -seed 455395946
# "uuid" : "573433421"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,160
20.,0,0,1000,0,191
30.,0,0,1000,0,181
40.,0,0,1000,0,167
50.,0,0,1000,0,167
60.,0,0,1000,0,192
70.,0,0,1000,0,159
80.,0,0,1000,0,177
90.,0,0,1000,0,183
100.,0,0,1000,0,183
110.,0,0,1000,0,179
120.,0,0,1000,0,171
130.,0,0,1000,0,191
140.,0,0,1000,0,166
150.,0,0,1000,0,192
160.,0,0,1000,0,188
170.,0,0,1000,0,188
180.,0,0,1000,0,168
190.,0,0,1000,0,185
200.,0,0,1000,0,190
210.,0,0,1000,0,176
220.,0,0,1000,0,200
230.,0,0,1000,0,214
240.,0,0,1000,0,183
250.,0,0,1000,0,186
260.,0,0,1000,0,190
270.,0,0,1000,0,194
280.,0,0,1000,0,187
290.,0,0,1000,0,196
300.,0,0,1000,0,152
310.,0,0,1000,0,184
320.,0,0,1000,0,179
330.,0,0,1000,0,197
340.,0,0,1000,0,173
350.,0,0,1000,0,177
360.,0,0,1000,0,198
370.,0,0,1000,0,182
380.,0,0,1000,0,170
390.,0,0,1000,0,196
400.,0,0,1000,0,180
410.,0,0,1000,0,174
420.,0,0,1000,0,183
430.,0,0,1000,0,177
440.,0,0,1000,0,187
450.,0,0,1000,0,152
460.,0,0,1000,0,191
470.,0,0,1000,0,201
480.,0,0,1000,0,204
490.,0,0,1000,0,170
500.,0,0,1000,0,202
510.,0,0,1000,0,182
520.,0,0,1000,0,195
530.,0,0,1000,0,180
540.,0,0,1000,0,191
550.,0,0,1000,0,195
560.,0,0,1000,0,185
570.,0,0,1000,0,198
580.,0,0,1000,0,192
590.,0,0,1000,0,183
600.,0,0,1000,0,176
610.,12647,12601,1000,46,195
620.,12647,12610,1000,37,218
630.,12647,12606,1000,41,175
640.,12647,12607,1000,40,152
650.,12647,12613,1000,34,173
660.,12647,12604,1000,43,159
