# Output of 'KaSim' '-i' './SA_km2__FREE__/level9/model_level09_km2__FREE__.kappa' '-d' './SA_km2__FREE__/level9' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 461617625
# "uuid" : "699746944"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,129
20.,0,0,1000,0,137
30.,0,0,1000,0,151
40.,0,0,1000,0,123
50.,0,0,1000,0,122
60.,0,0,1000,0,125
70.,0,0,1000,0,130
80.,0,0,1000,0,130
90.,0,0,1000,0,125
100.,0,0,1000,0,127
110.,0,0,1000,0,144
120.,0,0,1000,0,131
130.,0,0,1000,0,126
140.,0,0,1000,0,123
150.,0,0,1000,0,120
160.,0,0,1000,0,120
170.,0,0,1000,0,126
180.,0,0,1000,0,129
190.,0,0,1000,0,141
200.,0,0,1000,0,132
210.,0,0,1000,0,129
220.,0,0,1000,0,130
230.,0,0,1000,0,134
240.,0,0,1000,0,145
250.,0,0,1000,0,123
260.,0,0,1000,0,146
270.,0,0,1000,0,132
280.,0,0,1000,0,121
290.,0,0,1000,0,121
300.,0,0,1000,0,137
310.,0,0,1000,0,134
320.,0,0,1000,0,121
330.,0,0,1000,0,127
340.,0,0,1000,0,122
350.,0,0,1000,0,136
360.,0,0,1000,0,157
370.,0,0,1000,0,133
380.,0,0,1000,0,141
390.,0,0,1000,0,132
400.,0,0,1000,0,124
410.,0,0,1000,0,123
420.,0,0,1000,0,120
430.,0,0,1000,0,119
440.,0,0,1000,0,130
450.,0,0,1000,0,125
460.,0,0,1000,0,143
470.,0,0,1000,0,128
480.,0,0,1000,0,105
490.,0,0,1000,0,135
500.,0,0,1000,0,132
510.,0,0,1000,0,120
520.,0,0,1000,0,117
530.,0,0,1000,0,118
540.,0,0,1000,0,134
550.,0,0,1000,0,139
560.,0,0,1000,0,134
570.,0,0,1000,0,112
580.,0,0,1000,0,114
590.,0,0,1000,0,122
600.,0,0,1000,0,135
610.,12647,12147,1000,500,148
620.,12647,12170,1000,477,150
630.,12647,12157,1000,490,127
640.,12647,12163,1000,484,141
650.,12647,12161,1000,486,143
660.,12647,12152,1000,495,153
