1st	2nd	KD1__FREE__	km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__
r1	r1	2.00330373080074	1.7995215856675055e-06	5.9518584388769426e-05	1.5197422679389977e-05	0.00017647703633495644	5.019387463446701e-05
r1	r1_rev	1.9911036618836528	7.642296201190053e-06	0.0011696882630484152	0.0004160605387743203	0.004382026133135696	0.0010470594462062052
r1	r2	1.923754386227877	0.05497417853265269	0.011587975532595742	0.0956830677096912	0.013399177423719792	0.0007017800330899979
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	2.0209560925822143	0.023529092495081002	0.05361369591758537	0.059641728612515085	0.0158855534350367	0.0017721848151906784
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	2.0075101329719747	2.724681326222309e-06	5.97998490297174e-05	1.5259560870727914e-05	0.00017708633583164712	5.0401745775555285e-05
r1_rev	r1_rev	2.0003049234270316	4.091189425596124e-05	0.0011732246754776192	0.0004018031951715204	0.004247950426455182	0.0010734529876723728
r1_rev	r2	2.0025964563750813	3.1044522663610704e-05	9.747252768187754e-05	0.0007806404886534757	0.004398830645421836	0.00457940456002208
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	2.1524483658468703	0.07903233111029258	0.0006688638652285977	0.06944897639017676	0.003118135729668677	0.008925123638334247
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	1.9181465609711155	0.02974282384972441	1.6536913050052518e-05	0.0347741692209164	0.0023089139230448017	0.0005540614714961329
r2	r3	0.8014807257328825	0.005365467918793434	0.24863520245501783	0.017914484841755833	0.0009578804147879039	5.699232267367437e-05
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	4.7553353389033575	1.1925335733282483	0.11807323451544305	35.02575933797711	11.52345339030461	15.747824550648456
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r3	r2	2.336081459580605	0.025132596504726736	0.0012543233077363916	0.0289967058299239	0.0004107644289342387	0.00020523342922272787
r3	r3	0.8018930662528696	0.006327340303692601	0.26502179911202406	0.016118362803693147	0.0007293708496436203	1.7260125784267795e-05
r3	r4	1.564306559391556	0.007634201919646131	0.06258408574738303	0.005456443110046434	5.304777153685911e-05	6.481507573082174e-06
r3	r5	0.6843997139802319	0.01042248488702442	0.24930540445508903	0.020014842166079173	0.0003770488897218199	0.0007073227298998076
r3	r6	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r4	r2	0.0	0.0	0.0	0.0	0.0	0.0
r4	r3	0.802972938529631	0.006371465437772801	0.2662051539727981	0.016114547443162625	0.0007240469166783698	2.062500508574797e-05
r4	r4	2.618035301023115	0.002998781563367071	0.07359739055282101	0.0016442104963947902	0.00021510029155329463	0.00024447085389571775
r4	r5	0.051699901123649965	2.4236079225615406e-07	0.012049473966093304	5.7668120048324	0.28047761259463466	0.006011870341600129
r4	r6	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r5	r2	0.0	0.0	0.0	0.0	0.0	0.0
r5	r3	0.0	0.0	0.0	0.0	0.0	0.0
r5	r4	0.0	0.0	0.0	0.0	0.0	0.0
r5	r5	0.07971921359809374	0.0009280766736563151	0.030933668920687243	1.1345659519277458	18.80870028939854	228.50821115109562
r5	r6	0.05113522928856672	0.0035572777050903843	0.01695750800056569	1.655321853316503	6033.566356574622	597.1870122857101
r6	r1	0.0	0.0	0.0	0.0	0.0	0.0
r6	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r6	r2	0.0	0.0	0.0	0.0	0.0	0.0
r6	r3	0.0	0.0	0.0	0.0	0.0	0.0
r6	r4	0.0	0.0	0.0	0.0	0.0	0.0
r6	r5	0.00021053786994948976	0.0016198219069356303	0.0004445551642865565	8.572298512717628	3.2196887428838834	30.367581848680032
r6	r6	0.051107870605881275	0.0035531478178598562	0.016942994362842835	1.6544807755552995	5903.190846038654	600.9288555452497
