		KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	K2RT__FREE__	K2RT__FREE__	K2RT__FREE__	km2__FREE__	km2__FREE__	kphos__FREE__
		km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	kphos__FREE__	kdephos__FREE__	kdephos__FREE__
1st	2nd															
r3	r4	2.1869594146838046e-16	4.3739188293676093e-16	3.2804391220257073e-16	1.0934797073419023e-16	1.0934797073419023e-16	5.4673985367095116e-17	5.4673985367095116e-17	5.4673985367095116e-17	5.4673985367095116e-17	6.8342481708868895e-18	0.0	5.3392563835053824e-20	5.4673985367095116e-17	5.4673985367095116e-17	0.0
r3	r5	6.560878244051415e-16	4.3739188293676093e-16	2.1869594146838046e-16	0.0	1.0934797073419023e-16	0.0	1.0934797073419023e-16	0.0	1.0934797073419023e-16	2.7336992683547558e-17	2.7336992683547556e-16	1.0934797073419023e-16	2.1869594146838046e-16	0.0	2.7336992683547558e-17
r3	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r4	r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r4	r3	6.560878244051415e-16	4.3739188293676093e-16	4.3739188293676093e-16	4.3739188293676093e-16	3.2804391220257073e-16	1.0934797073419023e-16	2.7336992683547558e-17	2.7336992683547558e-17	1.0934797073419023e-16	2.7336992683547558e-17	0.0	5.4673985367095116e-17	5.4673985367095116e-17	1.3668496341773778e-16	2.050274451266067e-17
r4	r4	0.0	0.0	1.0934797073419023e-16	5.4673985367095116e-17	0.0	0.0	5.4673985367095116e-17	5.4673985367095116e-17	0.0	1.3668496341773779e-17	4.100548902532134e-17	1.3668496341773779e-17	0.0	0.0	2.7336992683547558e-17
r4	r5	0.0	1.0934797073419023e-16	4.3739188293676093e-16	2.1869594146838046e-16	2.1869594146838046e-16	1.7085620427217224e-18	0.0	3.4171240854434447e-18	0.0	4.3739188293676093e-16	1.0934797073419023e-16	2.7336992683547558e-17	0.0	2.1869594146838046e-16	0.0
r4	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r5	r5	8.747837658735219e-16	0.0	4.3739188293676093e-16	3.4991350634940874e-15	3.4991350634940874e-15	0.0	8.201097805064268e-17	1.0934797073419023e-16	0.0	2.1869594146838046e-16	1.7495675317470437e-15	8.747837658735219e-16	6.998270126988175e-15	6.998270126988175e-15	2.239446440636216e-13
r5	r6	3.4991350634940874e-15	6.998270126988175e-15	0.0	2.79930805079527e-14	1.399654025397635e-14	6.560878244051415e-16	0.0	0.0	0.0	0.0	1.399654025397635e-14	1.399654025397635e-14	2.79930805079527e-14	0.0	0.0
r6	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r6	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r6	r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r6	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r6	r4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r6	r5	3.2804391220257073e-16	3.2804391220257073e-16	3.2804391220257073e-16	6.560878244051415e-16	8.747837658735219e-16	6.8342481708868895e-18	3.4171240854434447e-18	2.7336992683547558e-17	1.3668496341773779e-17	2.7336992683547558e-17	5.4673985367095116e-17	2.1869594146838046e-16	6.998270126988175e-15	6.998270126988175e-15	4.1989620761929054e-14
r6	r6	1.0497405190482263e-14	3.4991350634940874e-15	3.4991350634940874e-15	2.79930805079527e-14	0.0	6.560878244051415e-16	2.1869594146838046e-16	0.0	0.0	5.248702595241132e-15	0.0	1.399654025397635e-14	8.397924152385811e-14	2.79930805079527e-14	1.7915571525089728e-12
