# Output of 'KaSim' '-i' './SA_km1__FREE__/level1/model_level01_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level1' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 1042058419
# "uuid" : "705323339"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,108
20.,0,0,1000,0,99
30.,0,0,1000,0,91
40.,0,0,1000,0,125
50.,0,0,1000,0,121
60.,0,0,1000,0,90
70.,0,0,1000,0,98
80.,0,0,1000,0,102
90.,0,0,1000,0,111
100.,0,0,1000,0,123
110.,0,0,1000,0,100
120.,0,0,1000,0,96
130.,0,0,1000,0,108
140.,0,0,1000,0,110
150.,0,0,1000,0,92
160.,0,0,1000,0,116
170.,0,0,1000,0,113
180.,0,0,1000,0,110
190.,0,0,1000,0,97
200.,0,0,1000,0,99
210.,0,0,1000,0,114
220.,0,0,1000,0,103
230.,0,0,1000,0,116
240.,0,0,1000,0,100
250.,0,0,1000,0,109
260.,0,0,1000,0,94
270.,0,0,1000,0,85
280.,0,0,1000,0,109
290.,0,0,1000,0,95
300.,0,0,1000,0,107
310.,0,0,1000,0,109
320.,0,0,1000,0,106
330.,0,0,1000,0,105
340.,0,0,1000,0,104
350.,0,0,1000,0,107
360.,0,0,1000,0,115
370.,0,0,1000,0,85
380.,0,0,1000,0,108
390.,0,0,1000,0,108
400.,0,0,1000,0,111
410.,0,0,1000,0,98
420.,0,0,1000,0,96
430.,0,0,1000,0,94
440.,0,0,1000,0,88
450.,0,0,1000,0,111
460.,0,0,1000,0,95
470.,0,0,1000,0,101
480.,0,0,1000,0,84
490.,0,0,1000,0,88
500.,0,0,1000,0,117
510.,0,0,1000,0,103
520.,0,0,1000,0,112
530.,0,0,1000,0,112
540.,0,0,1000,0,111
550.,0,0,1000,0,103
560.,0,0,1000,0,122
570.,0,0,1000,0,96
580.,0,0,1000,0,108
590.,0,0,1000,0,103
600.,0,0,1000,0,105
610.,12647,12117,1000,530,130
620.,12647,12144,1000,503,134
630.,12647,12166,1000,481,144
640.,12647,12127,1000,520,132
650.,12647,12187,1000,460,141
660.,12647,12129,1000,518,146
